mti,processingCode,transactionAmount,dateTimeTransaction,cardholderBillingConversionRate,stan,timeLocalTransaction,dateLocalTransaction,expiryDate,conversionDate,merchantCategoryCode,posEntryMode,acquiringInstitutionCode,forwardingInstitutionCode,rrn,cardAcceptorTerminalId,cardAcceptorId,cardAcceptorNameLocation,cardBalance,additionalData48,transactionCurrencyCode,cardholderBillingCurrencyCode,posDataCode,originalDataElement,channel,encryptedPan,network,dcc,kitNo,factorOfAuthorization,authenticationScore,contactless,international,preValidated,enhancedLimitWhiteListing,transactionOrigin,transactionType,isExternalAuth,encryptedHexCardNo,isTokenized,entityId,moneySendTxn,mcRefundTxn,mpqrtxn,authorisationStatus,latitude,longitude
0100,000000,0000000000.00,2412192200,61000000,13244,192200,2412,2306,0911,5969,810,013992,001695,1122033441,8999840,89050840 ,NETFLIXUS,0000000000.00,T,840,840,102510800600084063368,01001324424121922000000001399200000001695,ECOM,Kg1WR6lwTruEPIDK0GS4w82/wrFeXTU5SjD9TfyUXmc=,MASTER,False,1020001031,0.0,0.0,False,True,False,False,ECOM,ECOM,False,2a0d5647a9704ebb843c80cad064b8c3cdbfc2b15e5d35394a30fd4dfc945e67,False,EKCZSH8MA5,False,False,False,True,28.644800,77.216721
,,281.06,1325466397,,,,,,,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,4613314721966,,,,,,,35.9946,-81.7266
,,11.52,1325468849,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,340187018810220,,,,,,,29.44,-98.459
,,276.31,1325473523,,,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,340187018810220,,,,,,,29.44,-98.459
,,7.03,1325475483,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,4613314721966,,,,,,,35.9946,-81.7266
,,275.73,1325476547,,,,,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,340187018810220,,,,,,,29.44,-98.459
,,844.8,1325511488,,,,,,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,4613314721966,,,,,,,35.9946,-81.7266
,,843.91,1325548328,,,,,,,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,4613314721966,,,,,,,35.9946,-81.7266
,,10.76,1325552727,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,340187018810220,,,,,,,29.44,-98.459
,,332.35,1325554552,,,,,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,340187018810220,,,,,,,29.44,-98.459
